filename,MD,MoD,ND,VMD
ND__2350_jpg.rf.f80ac7f889639a124e46a6161c6eadd2.jpg,0,0,1,0
ND__2410_jpg.rf.6187777801c05a159fb8b3fbfb803f8e.jpg,0,0,1,0
VMD__1300_jpg.rf.4d7c333b0db31734bc8aab97e1ceb0e9.jpg,0,0,0,1
VMD__1315_jpg.rf.71636662b292c60ca022a1efbc8f5cdf.jpg,0,0,0,1
ND__2408_jpg.rf.53fc1d9575791ead9974991dd8cbc4a0.jpg,0,0,1,0
VMD__1228_jpg.rf.dd11ee7a38383042b82ab45f20d51660.jpg,0,0,0,1
ND__2406_jpg.rf.d02a8bb1c6d1bf75753dd2bebcd70486.jpg,0,0,1,0
ND__2355_jpg.rf.4cd88e55b1f62a11c6c9833fc849e24d.jpg,0,0,1,0
ND__2379_jpg.rf.44ddc88b4e8282ef2b7466a12542ebb3.jpg,0,0,1,0
ND__2416_jpg.rf.c0ff2e6c71ab4e566ea4eebc1321e9c3.jpg,0,0,1,0
ND__240_jpg.rf.5cdfe3f10bc9d940edfbb864adb95ef6.jpg,0,0,1,0
VMD__1304_jpg.rf.ce1e8b0eda8ae6d2acf0b78f3437be24.jpg,0,0,0,1
VMD__1320_jpg.rf.a511a8cdd8b4564f90bef37db5277c8f.jpg,0,0,0,1
ND__24_jpg.rf.2c7f2aa8b78034b3fae494efc4b7f262.jpg,0,0,1,0
VMD__1297_jpg.rf.e0ec9c21f128ed3ac735355d312b4f0e.jpg,0,0,0,1
ND__2409_jpg.rf.2eef4d59141f82753100c362efce51d3.jpg,0,0,1,0
ND__2398_jpg.rf.06206254cea331e3f068c191d5a53cdf.jpg,0,0,1,0
VMD__1310_jpg.rf.1a4a3c1f4887eb3d476961f86e9c5548.jpg,0,0,0,1
ND__2407_jpg.rf.42419f9cee74784b18d77325d0bee1b3.jpg,0,0,1,0
ND__2397_jpg.rf.664dc83259a3f369b996e214bbbd5ef5.jpg,0,0,1,0
VMD__1302_jpg.rf.59411b2985bc66a26cb7e48b2761a73a.jpg,0,0,0,1
ND__242_jpg.rf.99d5d5082379382ab013bd8ff59d7694.jpg,0,0,1,0
ND__2400_jpg.rf.d79d0d697d0354b776d72d7e2d337072.jpg,0,0,1,0
ND__2353_jpg.rf.db8fb0c4338cd43e5ca8f2d0fbb04b1e.jpg,0,0,1,0
VMD__1312_jpg.rf.3d9428e03c1d0de28fed29d895b585b3.jpg,0,0,0,1
VMD__448_jpg.rf.0baeede481d7d3cf0a54bc22160c881a.jpg,0,0,0,1
VMD__1246_jpg.rf.14767f7eddebb79da55b2c137c2dd8f0.jpg,0,0,0,1
VMD__132_jpg.rf.b478d8406449e9ed557d7eacdce72a03.jpg,0,0,0,1
ND__2399_jpg.rf.e31b7f0dedaeb3bb7746e51fb9f61878.jpg,0,0,1,0
VMD__1321_jpg.rf.234378cf6bac79124dd12f6b04e343e4.jpg,0,0,0,1
VMD__1306_jpg.rf.1382b2a8913629a7c44c29a1174df3fb.jpg,0,0,0,1
ND__460_jpg.rf.043eb7f32274fb61ba9a7b4fb05c1bbc.jpg,0,0,1,0
VMD__131_jpg.rf.755d30b9f437ebdf59f642ec3b8e4d25.jpg,0,0,0,1
VMD__1298_jpg.rf.f0f8a677ab9181c00ad142ea5c7f2bef.jpg,0,0,0,1
VMD__1243_jpg.rf.426603d2c55bcb218842397eb05fb491.jpg,0,0,0,1
VMD__1247_jpg.rf.1be3bb84006648d11d1de19b484e0ee2.jpg,0,0,0,1
ND__466_jpg.rf.35e0a8f7155234b666abce05de727882.jpg,0,0,1,0
VMD__125_jpg.rf.7b58f01a6a17b05834e6f84388dee652.jpg,0,0,0,1
VMD__1245_jpg.rf.4ba13c94411e7e2ce36a8149a6028527.jpg,0,0,0,1
VMD__1249_jpg.rf.93ace36e2463de9099cd88028c6f1fe3.jpg,0,0,0,1
VMD__1244_jpg.rf.6db4a4b6a4e928343ae9dc833092255b.jpg,0,0,0,1
VMD__1253_jpg.rf.9310b2bfaa8f7c022db30dc793463153.jpg,0,0,0,1
VMD__1285_jpg.rf.9c377af24f12a4da7c9f10663cce8d23.jpg,0,0,0,1
VMD__127_jpg.rf.b359b88687d589f17e422b46e05fe969.jpg,0,0,0,1
ND__464_jpg.rf.b4cd5ea5df5900070b0f150f22a3716f.jpg,0,0,1,0
VMD__1252_jpg.rf.98a15f352a67e58651053a18268f4f1e.jpg,0,0,0,1
VMD__1251_jpg.rf.c380c16360982c59a1f8b8b03ae2caec.jpg,0,0,0,1
VMD__1319_jpg.rf.d78a2c0da34d6530fdd6836856a11a6f.jpg,0,0,0,1
VMD__1248_jpg.rf.d27f3b81b994df73e33b468e29e6b2fc.jpg,0,0,0,1
ND__462_jpg.rf.e90b2eb437ea1a36063c491c9b7fbb81.jpg,0,0,1,0
ND__2403_jpg.rf.3e9888dd7073eba0b0704e726ab97c01.jpg,0,0,1,0
VMD__1250_jpg.rf.c58393027c11b9a00b5a534bc8c374ce.jpg,0,0,0,1
ND__2402_jpg.rf.cacc899cff0ef95b131e7521cf30d544.jpg,0,0,1,0
VMD__1322_jpg.rf.43e602aa884f733de138a88270125005.jpg,0,0,0,1
VMD__439_jpg.rf.33d5ed465a38dbd97a7079fe4d8cfd31.jpg,0,0,0,1
VMD__1328_jpg.rf.51b5ec64a4410cdd1e0a9ec8078da555.jpg,0,0,0,1
ND__2356_jpg.rf.09caffbc974b8a5e9cce8800839c0798.jpg,0,0,1,0
VMD__444_jpg.rf.6b19a065fc84f8efd3287022556d0e12.jpg,0,0,0,1
VMD__13_jpg.rf.31d9c6f638b40871f288935679896fe8.jpg,0,0,0,1
